iter	Passed	Remaining
154	212	1160
155	213	1155
156	213	1148
157	214	1143
158	215	1137
159	215	1131
160	216	1125
161	216	1120
162	217	1114
163	217	1109
164	218	1104
165	218	1098
166	219	1093
167	219	1088
168	220	1083
169	220	1078
170	221	1073
171	221	1068
172	222	1062
173	222	1058
174	223	1052
175	223	1048
176	224	1043
177	224	1038
178	225	1034
179	226	1030
180	226	1024
181	226	1019
182	227	1015
183	228	1011
184	229	1009
185	229	1005
186	230	1001
187	230	996
188	231	992
189	231	988
190	232	983
191	232	979
192	233	975
193	233	971
194	234	967
195	234	963
196	235	959
197	235	955
198	236	951
199	236	947
200	237	944
201	238	941
202	238	937
203	239	933
204	239	929
205	240	926
206	240	922
207	241	919
208	241	915
209	242	912
210	243	909
211	243	906
212	244	902
213	244	899
214	245	896
215	246	892
216	246	889
217	247	886
218	247	882
219	248	879
220	248	876
221	249	872
222	249	869
223	250	866
224	250	863
225	251	860
226	251	856
227	252	853
228	252	850
229	253	847
230	253	844
231	254	841
232	254	838
233	255	835
234	255	833
235	256	830
236	257	827
237	257	825
238	258	822
239	258	819
240	259	816
241	259	813
242	260	810
243	260	808
244	261	805
245	261	802
246	262	800
247	263	797
248	263	794
249	264	792
250	264	790
251	265	787
252	265	785
253	266	782
254	266	780
255	267	777
256	268	774
257	268	772
258	269	769
259	269	767
260	270	765
261	270	762
262	271	760
263	271	757
264	272	755
265	272	752
266	273	750
267	273	748
268	274	745
269	274	743
270	275	740
271	275	738
272	276	736
273	276	733
274	277	731
275	277	729
276	278	726
277	279	724
278	279	722
279	280	720
280	280	718
281	281	715
282	281	713
283	282	711
284	282	709
285	283	707
286	283	705
287	284	702
288	284	701
289	285	698
290	286	697
291	286	695
292	287	692
293	287	690
294	288	688
295	288	686
296	289	684
297	289	682
298	290	680
299	290	678
300	291	676
301	291	674
302	292	672
303	292	670
304	293	668
305	293	666
306	294	664
307	295	662
308	295	661
309	296	659
310	296	657
311	297	655
312	297	653
313	298	651
314	298	649
315	299	647
316	299	645
317	300	643
318	300	642
319	301	640
320	301	638
321	302	636
322	303	635
323	303	633
324	304	632
325	305	631
326	305	629
327	306	627
328	306	625
329	307	623
330	307	622
331	308	620
332	308	618
333	309	617
334	310	615
335	310	613
336	311	612
337	311	610
338	312	608
339	312	607
340	313	605
341	313	603
342	314	602
343	314	600
344	315	598
345	316	597
346	316	596
347	317	594
348	317	593
349	318	591
350	320	592
351	320	590
352	321	589
353	322	588
354	323	587
355	323	585
356	324	583
357	324	582
358	325	580
359	325	578
360	326	577
361	326	575
362	327	574
363	327	572
364	328	571
365	328	569
366	329	568
367	329	566
368	330	564
369	330	563
370	331	561
371	332	560
372	332	558
373	333	557
374	333	555
375	334	554
376	334	552
377	335	551
378	335	549
379	336	548
380	336	546
381	337	545
382	337	544
383	338	542
384	338	541
385	339	539
386	339	538
387	340	536
388	340	535
389	341	533
390	341	532
391	342	531
392	342	529
393	343	528
394	343	526
395	345	526
396	345	525
397	346	523
398	346	522
399	347	521
400	348	520
401	348	518
402	349	517
403	349	516
404	350	514
405	351	513
406	351	512
407	352	511
408	352	509
409	353	508
410	353	507
411	356	508
412	356	507
413	357	505
414	357	504
415	358	503
416	358	501
417	359	500
418	360	499
419	360	498
420	361	496
421	361	495
422	362	494
423	363	493
424	363	491
425	364	490
426	364	489
427	365	487
428	365	486
429	366	485
430	366	483
431	367	482
432	367	481
433	368	480
434	368	478
435	369	477
436	369	476
437	370	475
438	370	473
439	371	472
440	371	471
441	372	470
442	372	468
443	373	467
444	374	466
445	374	465
446	375	464
447	376	463
448	376	462
449	377	460
450	377	459
451	378	458
452	378	457
453	379	456
454	379	454
455	380	453
456	380	452
457	381	451
458	381	450
459	382	449
460	382	447
461	383	446
462	383	445
463	384	444
464	385	443
465	386	443
466	387	441
467	387	440
468	388	439
469	388	438
470	389	437
471	390	436
472	390	435
473	391	433
474	391	432
475	392	431
476	392	430
477	393	429
478	393	428
479	394	427
480	394	426
481	395	424
482	395	423
483	396	422
484	396	421
485	397	420
486	397	419
487	399	418
488	399	417
489	400	416
490	400	415
491	401	414
492	401	413
493	402	412
494	402	411
495	403	410
496	404	408
497	404	407
498	405	406
499	406	406
500	406	405
501	407	404
502	408	403
503	409	403
504	410	402
505	411	401
506	411	400
507	412	399
508	412	398
509	413	397
510	413	396
511	414	395
512	415	394
513	415	393
514	416	392
515	416	390
516	417	389
517	417	388
518	418	387
519	418	386
520	419	385
521	419	384
522	420	383
523	421	382
524	421	381
525	422	380
526	422	379
527	423	378
528	423	377
529	424	376
530	424	375
531	425	374
532	425	373
533	426	372
534	426	370
535	427	369
536	427	368
537	428	367
538	428	366
539	429	365
540	430	364
541	430	363
542	431	363
543	432	362
544	432	361
545	433	360
546	433	359
547	434	358
548	435	357
549	435	356
550	436	355
551	436	354
552	437	353
553	437	352
554	438	351
555	438	350
556	439	349
557	439	348
558	440	347
559	441	346
560	441	345
561	442	344
562	442	343
563	443	342
564	443	341
565	444	340
566	444	339
567	445	338
568	445	337
569	446	336
570	446	335
571	447	334
572	447	333
573	448	332
574	448	331
575	449	330
576	449	329
577	450	328
578	450	327
579	451	326
580	451	325
581	452	324
582	452	323
583	453	323
584	454	322
585	454	321
586	454	320
587	455	319
588	456	318
589	456	317
590	457	316
591	457	315
592	458	314
593	458	313
594	459	312
595	459	311
596	460	310
597	460	309
598	461	308
599	461	307
600	462	306
601	462	306
602	463	305
603	463	304
604	464	303
605	465	302
606	465	301
607	466	300
608	466	299
609	467	298
610	468	297
611	468	297
612	469	296
613	469	295
614	470	294
615	470	293
616	471	292
617	471	291
618	472	290
619	473	290
620	473	289
621	474	288
622	474	287
623	475	286
624	475	285
625	476	284
626	476	283
627	477	282
628	477	281
629	478	280
630	478	280
631	479	279
632	479	278
633	480	277
634	481	276
635	481	275
636	482	274
637	482	273
638	483	272
639	483	272
640	484	271
641	484	270
642	485	269
643	485	268
644	486	267
645	486	266
646	487	265
647	487	264
648	488	264
649	488	263
650	489	262
651	490	261
652	490	260
653	491	259
654	491	258
655	492	258
656	492	257
657	493	256
658	493	255
659	494	254
660	495	253
661	495	253
662	496	252
663	496	251
664	497	250
665	498	249
666	499	249
667	500	248
668	500	247
669	501	246
670	501	246
671	502	245
672	503	244
673	503	243
674	504	242
675	504	241
676	505	241
677	505	240
678	506	239
679	506	238
680	507	237
681	508	236
682	508	236
683	509	235
684	509	234
685	510	233
686	510	232
687	511	231
688	511	231
689	512	230
690	512	229
691	513	228
692	514	227
693	514	226
694	515	226
695	515	225
696	516	224
697	516	223
698	517	222
699	517	221
700	518	221
701	519	220
702	519	219
703	520	218
704	520	217
705	521	216
706	521	216
707	522	215
708	522	214
709	523	213
710	523	212
711	524	212
712	524	211
713	525	210
714	525	209
715	526	208
716	527	208
717	527	207
718	528	206
719	528	205
720	529	204
721	529	203
722	530	203
723	530	202
724	531	201
725	531	200
726	532	199
727	532	199
728	533	198
729	534	197
730	534	196
731	535	195
732	535	195
733	536	194
734	536	193
735	537	192
736	537	191
737	538	191
738	538	190
739	539	189
740	539	188
741	540	187
742	541	187
743	541	186
744	542	185
745	542	184
746	543	184
747	544	183
748	544	182
749	545	181
750	545	180
751	546	180
752	546	179
753	547	178
754	547	177
755	548	176
756	548	176
757	549	175
758	549	174
759	550	173
760	550	173
761	551	172
762	551	171
763	552	170
764	552	169
765	553	169
766	554	168
767	554	167
768	555	166
769	556	166
770	556	165
771	557	164
772	557	163
773	558	163
774	559	162
775	559	161
776	560	160
777	560	159
778	561	159
779	561	158
780	562	157
781	562	156
782	563	156
783	563	155
784	564	154
785	564	153
786	565	152
787	565	152
788	566	151
789	566	150
790	567	149
791	567	149
792	568	148
793	568	147
794	569	146
795	569	146
796	570	145
797	570	144
798	571	143
799	571	142
800	572	142
801	573	141
802	573	140
803	574	139
804	574	139
805	575	138
806	575	137
807	576	136
808	576	136
809	577	135
810	577	134
811	578	133
812	578	133
813	579	132
814	579	131
815	580	130
816	580	130
817	581	129
818	581	128
819	582	127
820	582	127
821	583	126
822	583	125
823	584	124
824	585	124
825	585	123
826	586	122
827	586	121
828	587	121
829	587	120
830	588	119
831	588	118
832	589	118
833	589	117
834	590	116
835	590	115
836	591	115
837	591	114
838	592	113
839	592	112
840	593	112
841	593	111
842	594	110
843	594	109
844	595	109
845	595	108
846	596	107
847	596	106
848	597	106
849	598	105
850	598	104
851	599	104
852	599	103
853	600	102
854	600	101
855	601	101
856	602	100
857	602	99
858	603	99
859	603	98
860	604	97
861	604	96
862	605	96
863	605	95
864	606	94
865	606	93
866	607	93
867	607	92
868	608	91
869	608	90
870	608	90
871	609	89
872	609	88
873	610	88
874	610	87
875	611	86
876	611	85
877	613	85
878	613	84
879	614	83
880	614	83
881	615	82
882	615	81
883	616	80
884	617	80
885	617	79
886	618	78
887	618	78
888	619	77
889	619	76
890	620	75
891	620	75
892	621	74
893	621	73
894	622	73
895	622	72
896	623	71
897	623	70
898	624	70
899	624	69
900	625	68
901	625	68
902	626	67
903	626	66
904	627	65
905	627	65
906	628	64
907	629	63
908	629	63
909	630	62
910	630	61
911	631	60
912	631	60
913	632	59
914	632	58
915	633	58
916	633	57
917	634	56
918	634	55
919	635	55
920	635	54
921	636	53
922	636	53
923	637	52
924	637	51
925	638	51
926	638	50
927	639	49
928	639	48
929	640	48
930	640	47
931	641	46
932	641	46
933	642	45
934	642	44
935	643	43
936	643	43
937	644	42
938	644	41
939	645	41
940	645	40
941	646	39
942	647	39
943	647	38
944	648	37
945	648	37
946	649	36
947	649	35
948	650	34
949	650	34
950	651	33
951	651	32
952	652	32
953	652	31
954	653	30
955	653	30
956	654	29
957	654	28
958	655	28
959	655	27
960	656	26
961	656	25
962	657	25
963	658	24
964	658	23
965	659	23
966	662	22
967	663	21
968	664	21
969	665	20
970	666	19
971	666	19
972	667	18
973	668	17
974	669	17
975	670	16
976	671	15
977	672	15
978	673	14
979	674	13
980	675	13
981	676	12
982	677	11
983	678	11
984	679	10
985	680	9
986	680	8
987	681	8
988	682	7
989	683	6
990	684	6
991	684	5
992	685	4
993	686	4
994	686	3
995	687	2
996	687	2
997	688	1
998	689	0
999	689	0
