iter	Passed	Remaining
481	676	726
482	678	725
483	679	724
484	681	723
485	683	722
486	684	721
487	686	719
488	687	718
489	689	717
490	690	716
491	692	715
492	694	714
493	696	713
494	697	711
495	699	710
496	700	709
497	702	707
498	703	706
499	704	704
500	705	702
501	707	701
502	710	701
503	711	700
504	713	699
505	714	697
506	716	696
507	718	695
508	719	694
509	721	693
510	725	694
511	727	693
512	730	693
513	732	692
514	734	691
515	736	690
516	738	690
517	741	689
518	743	689
519	745	688
520	747	687
521	750	687
522	753	687
523	756	687
524	759	686
525	761	686
526	763	684
527	765	684
528	767	683
529	770	682
530	772	682
531	774	681
532	776	680
533	779	680
534	781	679
535	783	678
536	786	678
537	788	677
538	790	676
539	792	675
540	794	673
541	795	672
542	798	671
543	801	671
544	802	670
545	805	669
546	807	668
547	809	667
548	811	666
549	814	666
550	817	665
551	819	665
552	821	664
553	823	663
554	826	662
555	829	662
556	831	661
557	833	660
558	835	659
559	837	658
560	839	656
561	842	656
562	844	655
563	848	655
564	851	655
565	853	654
566	855	653
567	857	652
568	859	651
569	862	650
570	864	649
571	866	648
572	869	647
573	871	646
574	873	645
575	876	644
576	879	644
577	881	643
578	884	642
579	886	641
580	889	641
581	891	640
582	893	639
583	896	638
584	899	637
585	901	636
586	904	636
587	907	635
588	909	634
589	911	633
590	913	632
591	916	631
592	918	630
593	921	629
594	923	628
595	925	627
596	927	626
597	930	625
598	932	624
599	935	623
600	937	622
601	940	621
602	942	620
603	944	619
604	947	618
605	950	617
606	952	616
607	953	615
608	956	613
609	958	612
610	961	612
611	963	610
612	966	609
613	968	608
614	970	607
615	973	606
616	975	605
617	977	604
618	979	603
619	981	601
620	984	600
621	986	599
622	988	598
623	991	597
624	993	596
625	995	594
626	998	593
627	1000	592
628	1003	591
629	1005	590
630	1008	589
631	1011	588
632	1013	587
633	1015	586
634	1018	585
635	1021	584
636	1024	583
637	1027	583
638	1029	581
639	1032	580
640	1035	579
641	1037	578
642	1041	578
643	1044	577
644	1046	575
645	1048	574
646	1051	573
647	1054	572
648	1056	571
649	1059	570
650	1061	569
651	1064	568
652	1067	567
653	1070	566
654	1073	565
655	1075	563
656	1077	562
657	1080	561
658	1083	560
659	1085	559
660	1087	557
661	1090	556
662	1093	555
663	1095	554
664	1098	553
665	1100	551
666	1103	551
667	1106	549
668	1108	548
669	1111	547
670	1114	546
671	1116	545
672	1119	544
673	1122	542
674	1125	541
675	1128	540
676	1130	539
677	1133	538
678	1135	536
679	1137	535
680	1140	534
681	1142	532
682	1145	531
683	1147	530
684	1150	528
685	1153	527
686	1155	526
687	1158	525
688	1160	523
689	1162	522
690	1164	520
691	1167	519
692	1170	518
693	1172	517
694	1175	515
695	1178	514
696	1180	513
697	1183	512
698	1186	510
699	1189	509
700	1191	508
701	1194	506
702	1197	505
703	1200	504
704	1203	503
705	1205	502
706	1208	500
707	1212	499
708	1215	498
709	1217	497
710	1220	496
711	1223	494
712	1225	493
713	1228	492
714	1231	490
715	1234	489
716	1237	488
717	1239	486
718	1242	485
719	1245	484
720	1248	482
721	1250	481
722	1253	480
723	1255	478
724	1258	477
725	1262	476
726	1264	474
727	1267	473
728	1270	472
729	1272	470
730	1275	469
731	1277	467
732	1280	466
733	1282	464
734	1285	463
735	1288	462
736	1291	460
737	1293	459
738	1296	457
739	1298	456
740	1301	454
741	1304	453
742	1306	452
743	1309	450
744	1312	449
745	1314	447
746	1317	446
747	1319	444
748	1322	443
749	1324	441
750	1327	440
751	1330	438
752	1332	437
753	1335	435
754	1337	434
755	1340	432
756	1343	431
757	1345	429
758	1348	428
759	1350	426
760	1353	425
761	1356	423
762	1358	422
763	1361	420
764	1364	419
765	1366	417
766	1369	415
767	1371	414
768	1373	412
769	1376	411
770	1378	409
771	1381	407
772	1383	406
773	1386	404
774	1388	403
775	1391	401
776	1393	400
777	1396	398
778	1398	396
779	1401	395
780	1403	393
781	1406	391
782	1408	390
783	1411	388
784	1413	387
785	1416	385
786	1418	383
787	1421	382
788	1423	380
789	1426	379
790	1429	377
791	1431	375
792	1434	374
793	1437	372
794	1440	371
795	1442	369
796	1445	368
797	1447	366
798	1450	364
799	1453	363
800	1456	361
801	1459	360
802	1461	358
803	1464	357
804	1467	355
805	1469	353
806	1472	352
807	1476	350
808	1478	349
809	1481	347
810	1483	345
811	1486	344
812	1489	342
813	1492	340
814	1495	339
815	1500	338
816	1502	336
817	1505	334
818	1508	333
819	1511	331
820	1514	330
821	1516	328
822	1519	326
823	1522	325
824	1525	323
825	1528	321
826	1530	320
827	1532	318
828	1535	316
829	1537	314
830	1540	313
831	1543	311
832	1546	309
833	1548	308
834	1551	306
835	1554	304
836	1557	303
837	1560	301
838	1563	299
839	1566	298
840	1569	296
841	1572	295
842	1575	293
843	1578	291
844	1581	290
845	1584	288
846	1587	286
847	1590	285
848	1593	283
849	1596	281
850	1598	279
851	1601	278
852	1604	276
853	1606	274
854	1609	272
855	1612	271
856	1615	269
857	1618	267
858	1621	266
859	1624	264
860	1627	262
861	1630	261
862	1633	259
863	1635	257
864	1638	255
865	1641	253
866	1644	252
867	1647	250
868	1650	248
869	1653	247
870	1656	245
871	1659	243
872	1662	241
873	1665	240
874	1668	238
875	1671	236
876	1673	234
877	1676	232
878	1679	231
879	1682	229
880	1685	227
881	1688	225
882	1691	224
883	1693	222
884	1696	220
885	1699	218
886	1702	216
887	1705	215
888	1708	213
889	1711	211
890	1714	209
891	1717	207
892	1720	206
893	1722	204
894	1725	202
895	1728	200
896	1731	198
897	1734	197
898	1737	195
899	1740	193
900	1743	191
901	1746	189
902	1749	187
903	1751	186
904	1754	184
905	1756	182
906	1759	180
907	1762	178
908	1765	176
909	1768	174
910	1771	173
911	1774	171
912	1777	169
913	1779	167
914	1782	165
915	1785	163
916	1787	161
917	1791	159
918	1794	158
919	1796	156
920	1799	154
921	1802	152
922	1805	150
923	1808	148
924	1810	146
925	1813	144
926	1816	143
927	1818	141
928	1821	139
929	1824	137
930	1827	135
931	1830	133
932	1832	131
933	1835	129
934	1838	127
935	1841	125
936	1843	123
937	1846	122
938	1849	120
939	1852	118
940	1855	116
941	1858	114
942	1861	112
943	1865	110
944	1868	108
945	1870	106
946	1873	104
947	1876	102
948	1880	101
949	1883	99
950	1886	97
951	1889	95
952	1892	93
953	1895	91
954	1898	89
955	1901	87
956	1904	85
957	1907	83
958	1910	81
959	1913	79
960	1915	77
961	1918	75
962	1921	73
963	1924	71
964	1928	69
965	1930	67
966	1933	65
967	1936	64
968	1939	62
969	1942	60
970	1944	58
971	1947	56
972	1950	54
973	1952	52
974	1955	50
975	1958	48
976	1961	46
977	1964	44
978	1966	42
979	1970	40
980	1972	38
981	1975	36
982	1978	34
983	1981	32
984	1984	30
985	1987	28
986	1990	26
987	1993	24
988	1996	22
989	1998	20
990	2002	18
991	2004	16
992	2007	14
993	2010	12
994	2013	10
995	2016	8
996	2019	6
997	2021	4
998	2024	2
999	2027	0
